journal_name,publisher,issn,if_2024,quartile,url_toc,years_searched,issues_searched,papers_found,papers_screened,papers_included,date_searched,notes
International Journal of Production Research,Taylor & Francis,0020-7543,9.2,Q1,https://www.tandfonline.com/toc/tprs20/current,2024-2026,All issues in range,TBD,TBD,TBD,TBD,Target journal — search TOC manually
Maritime Policy & Management,Taylor & Francis,0308-8839,6.0,Q1,https://www.tandfonline.com/toc/tmpm20/current,2024-2026,All issues in range,TBD,TBD,TBD,TBD,Target journal — search TOC manually
Computers in Industry,Elsevier,0166-3615,8.4,Q1,https://www.sciencedirect.com/journal/computers-in-industry,2024-2026,All issues in range,TBD,TBD,TBD,TBD,Backup journal
Annual Reviews in Control,Elsevier,1367-5788,7.5,Q1,https://www.sciencedirect.com/journal/annual-reviews-in-control,2024-2026,All issues in range,TBD,TBD,TBD,TBD,Backup journal
Journal of Marine Science and Engineering,MDPI,2077-1312,2.9,Q2,https://www.mdpi.com/journal/jmse,2024-2026,All issues in range,TBD,TBD,TBD,TBD,Open access — DT maritime papers
Transportation Research Part E,Elsevier,1366-5545,8.3,Q1,https://www.sciencedirect.com/journal/transportation-research-part-e-logistics-and-transportation-review,2024-2026,All issues in range,TBD,TBD,TBD,TBD,Port logistics scope
Ocean Engineering,Elsevier,0029-8018,4.6,Q1,https://www.sciencedirect.com/journal/ocean-engineering,2024-2026,All issues in range,TBD,TBD,TBD,TBD,Maritime engineering
IEEE Transactions on Industrial Informatics,IEEE,1551-3203,11.7,Q1,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=9424,2024-2026,All issues in range,TBD,TBD,TBD,TBD,DT + industrial informatics
Journal of Cleaner Production,Elsevier,0959-6526,9.7,Q1,https://www.sciencedirect.com/journal/journal-of-cleaner-production,2024-2026,All issues in range,TBD,TBD,TBD,TBD,Sustainable port operations
Automation in Construction,Elsevier,0926-5805,9.6,Q1,https://www.sciencedirect.com/journal/automation-in-construction,2024-2026,All issues in range,TBD,TBD,TBD,TBD,Digital twin construction/infrastructure
